Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
Tercio Coelho;Lipoaspiração De Abdome Sem Enxertia; R$ 9.240,00 ; R$ 7.700,00 ;22/05/2025;;;;Tercio CoelhoLipoaspiração De Abdome Sem Enxertia
Tercio Coelho;Lipoaspiração De Abdome Com Enxertia; R$ 11.880,00 ; R$ 9.900,00 ;22/05/2025;;;;Tercio CoelhoLipoaspiração De Abdome Com Enxertia
Tercio Coelho;Lipoaspiracão De Abdome E Dorso Sem Enxertia; R$ 16.500,00 ; R$ 13.750,00 ;22/05/2025;;;;Tercio CoelhoLipoaspiracão De Abdome E Dorso Sem Enxertia
Tercio Coelho;Lipoaspiracão De Abdome E Dorso Com Enxertia; R$ 19.140,00 ; R$ 15.950,00 ;22/05/2025;;;;Tercio CoelhoLipoaspiracão De Abdome E Dorso Com Enxertia
Tercio Coelho;Plasma De Argonio (Argoplasma); R$ 10.560,00 ; R$ 8.800,00 ;22/05/2025;;;;Tercio CoelhoPlasma De Argonio (Argoplasma)
Tercio Coelho;Otoplastia; R$ 6.600,00 ; R$ 5.500,00 ;22/05/2025;;;;Tercio CoelhoOtoplastia
Tercio Coelho;Blefaroplastia Superior; R$ 5.280,00 ; R$ 4.400,00 ;22/05/2025;;;;Tercio CoelhoBlefaroplastia Superior
Tercio Coelho;Blefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia; R$ 10.560,00 ; R$ 8.800,00 ;22/05/2025;;;;Tercio CoelhoBlefaroplastia Superior + Inferior + Cantopexia Ou Cantoplastia
Tercio Coelho;Braquioplastia; R$ 9.900,00 ; R$ 8.250,00 ;22/05/2025;;;;Tercio CoelhoBraquioplastia
Tercio Coelho;Cruroplastia; R$ 12.540,00 ; R$ 10.450,00 ;22/05/2025;;;;Tercio CoelhoCruroplastia
Tercio Coelho;Lifting Facial; R$ 17.160,00 ; R$ 14.300,00 ;22/05/2025;;;;Tercio CoelhoLifting Facial
Tercio Coelho;Rinoplastia; R$ 13.860,00 ; R$ 11.550,00 ;22/05/2025;;;;Tercio CoelhoRinoplastia
Tercio Coelho;Rinoplastia Com Cartilagem Costal; R$ 15.840,00 ; R$ 13.200,00 ;22/05/2025;;;;Tercio CoelhoRinoplastia Com Cartilagem Costal
Tercio Coelho;Ninfoplastia; R$ 6.600,00 ; R$ 5.500,00 ;22/05/2025;;;;Tercio CoelhoNinfoplastia
Tercio Coelho;Consulta; R$ 350,00 ; R$ 250,00 ;22/05/2025;;;;Tercio CoelhoConsulta
Rafael Ataide;Consulta; R$ 450,00 ; R$ 400,00 ;26/05/2025;;;;Rafael AtaideConsulta
Rafael Ataide;Mamoplastia Redutora; R$ 24.000,00 ; R$ 20.000,00 ;26/05/2025;;;;Rafael AtaideMamoplastia Redutora
Rafael Ataide;Lipo + Abdominoplastia; R$ 28.000,00 ; R$ 25.200,00 ;09/07/2025;;;;Rafael AtaideLipo + Abdominoplastia
Anestesia e Serviços Médicoas LTDA;Lipo Safer (Abdomen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia; R$ 2.800,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipo Safer (Abdomen, Flancos, Costas, Braços, Coxas e Monte De Vênus) + Enxertia
Anestesia e Serviços Médicoas LTDA;Lipo Safer (Abdõmen, Flancos e costas) + Enxertia; R$ 2.800,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipo Safer (Abdõmen, Flancos e costas) + Enxertia
Anestesia e Serviços Médicoas LTDA;Lipo Safer (Abdomen, Flancos e costas); R$ 2.800,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipo Safer (Abdomen, Flancos e costas)
Anestesia e Serviços Médicoas LTDA;Lipo Safer (Abdômen E Flancos) +Enxertia; R$ 2.800,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipo Safer (Abdômen E Flancos) +Enxertia
Anestesia e Serviços Médicoas LTDA;Lipo Safer (Abdomen E Flancos); R$ 2.800,00 ; R$ 2.400,00 ;;;;;Anestesia e Serviços Médicoas LTDALipo Safer (Abdomen E Flancos)
Anestesia e Serviços Médicoas LTDA;Lipo Safer (Abômen, Flancos E Costas) + Enxertia +Abdominoplastia; R$ 4.000,00 ; R$ 3.700,00 ;;;;;Anestesia e Serviços Médicoas LTDALipo Safer (Abômen, Flancos E Costas) + Enxertia +Abdominoplastia
Anestesia e Serviços Médicoas LTDA;Lipo Safer 360° (Abômen, Flancos e Lombar ) ; R$ 2.600,00 ; R$ 2.400,00 ;30/052025;;;;
Anestesia e Serviços Médicoas LTDA;Mamoplastia Redutora; R$ 2.800,00 ; R$ 2.600,00 ;;;;;Anestesia e Serviços Médicoas LTDAMamoplastia Redutora
Anestesia e Serviços Médicoas LTDA;Abdominoplastia; R$ 2.800,00 ; R$ 2.600,00 ;;;;;Anestesia e Serviços Médicoas LTDAAbdominoplastia
Anestesia e Serviços Médicoas LTDA;Mamoplastia Redutora Com Prótese; R$ 3.500,00 ; R$ 3.800,00 ;;;;;Anestesia e Serviços Médicoas LTDAMamoplastia Redutora Com Prótese
Anestesia e Serviços Médicoas LTDA;Mastopexia Com Protese Multiplanos Em L; R$ 3.500,00 ; R$ 3.200,00 ;;;;;Anestesia e Serviços Médicoas LTDAMastopexia Com Protese Multiplanos Em L
Anestesia e Serviços Médicoas LTDA;Mamoplastia De Aumento Submuscular Estruturada; R$ 3.500,00 ; R$ 3.200,00 ;;;;;Anestesia e Serviços Médicoas LTDAMamoplastia De Aumento Submuscular Estruturada
